timestamp,filename,label,confidence
2025-11-20 13:11:14,00001.wav,broken,0.5603
2025-11-20 13:11:16,00002.wav,broken,0.5332
2025-11-20 13:11:18,00003.wav,broken,0.5467
2025-11-20 13:11:22,00004.wav,broken,0.5603
2025-11-20 13:11:24,00005.wav,broken,0.5525
2025-11-20 13:11:26,00006.wav,broken,0.5332
2025-11-20 13:11:28,00007.wav,broken,0.5409
2025-11-20 13:11:30,00009.wav,broken,0.5273
2025-11-20 13:11:30,00008.wav,broken,0.5273
2025-11-20 13:12:54,00010.wav,broken,0.5059
2025-11-20 13:12:56,00011.wav,normal,0.5000
2025-11-20 13:12:58,00012.wav,broken,0.5525
2025-11-20 13:13:00,00013.wav,broken,0.5660
2025-11-20 13:13:02,00014.wav,broken,0.5409
2025-11-20 13:13:06,00016.wav,broken,0.5467
2025-11-20 13:13:06,00015.wav,broken,0.5273
2025-11-20 13:13:08,00017.wav,broken,0.5660
2025-11-20 13:14:54,00018.wav,broken,0.5059
2025-11-20 13:14:54,00019.wav,broken,0.5467
2025-11-20 13:14:56,00020.wav,broken,0.5660
2025-11-20 13:15:00,00022.wav,broken,0.5332
2025-11-20 13:15:00,00021.wav,broken,0.5525
2025-11-20 13:15:02,00023.wav,broken,0.5273
2025-11-20 13:15:06,00024.wav,broken,0.5467
2025-11-20 13:15:08,00025.wav,broken,0.5409
2025-11-20 13:15:08,00026.wav,broken,0.5137
